a, No-opt, Simplify and Caching, Solving Reduction, All
1, 1003, 1.19, 1.66, 949 % hash
2, 2964, 0.87, 1.21, 524 % aes
3, 0, 0.64, 1.21, 0 % blowfish
4, 8, 0.65, 1.32, 8 % chacha20
5, 16, 0.75, 1.32, 16 % encoder
6, 0, 0.85, 1.32, 0 % ocb
7, 17, 0.95, 1.32, 17 % des
8, 44, 1.45, 1.32, 25 % str2key
9, 3816, 1.45, 1.32, 2207  % des
10, 2265, 1.45, 1.32, 1972 % camellia
11, 0, 1.45, 1.32, 0 % salsa
12, 2382, 1.45, 1.32, 321 % seed
13, 457, 1.45, 1.32, 273 % des
14, 0, 1.45, 1.32, 0 % salsa
15, 111, 1.45, 1.32, 111 % spectre
